,Date,Open,High,Low,Close,Adj Close,Volume
0,2017-03-27,35.93,36.067501,35.752499,35.915001,33.705326,78646800
1,2017-04-03,35.927502,36.365002,35.762501,35.834999,33.630249,421664800
2,2017-04-10,35.900002,35.970001,35.014999,35.262501,33.092964,349942800
3,2017-04-17,35.369999,35.73,35.112499,35.567501,33.379211,356994000
4,2017-04-24,35.875,36.224998,35.794998,35.912498,33.702991,364614800
5,2017-05-01,36.275002,37.244999,36.067501,37.240002,34.948811,701406800
6,2017-05-08,37.2575,39.105,37.2575,39.025002,36.623981,693882400
7,2017-05-15,39.002499,39.162498,37.427502,38.264999,36.058956,629419600
8,2017-05-22,38.5,38.724998,38.1675,38.4025,36.188538,412906000
9,2017-05-29,38.355,38.862499,38.055,38.862499,36.622021,355011600
10,2017-06-05,38.584999,38.994999,36.505001,37.244999,35.097767,636638800
11,2017-06-12,36.435001,36.875,35.549999,35.567501,33.516983,882121600
12,2017-06-19,35.915001,36.790001,35.915001,36.57,34.461685,533012000
13,2017-06-26,36.7925,37.07,35.57,36.005001,33.92926,508240800
14,2017-07-03,36.220001,36.325001,35.602501,36.044998,33.966957,316711600
15,2017-07-10,36.0275,37.3325,35.842499,37.259998,35.111904,444353600
16,2017-07-17,37.205002,37.935001,37.142502,37.567501,35.401676,424326400
17,2017-07-24,37.645,38.497501,36.825001,37.375,35.220276,423272400
18,2017-07-31,37.474998,39.9375,37.032501,39.0975,36.843475,691234000
19,2017-08-07,39.264999,40.4575,38.657501,39.369999,37.100269,605076400
20,2017-08-14,39.830002,40.627499,39.18,39.375,37.250671,538514000
21,2017-08-21,39.375,40.185001,38.7775,39.965,37.808849,450684800
22,2017-08-28,40.035,41.235001,39.982498,41.012501,38.799843,504514800
23,2017-09-04,40.9375,41.0625,39.6325,39.657501,37.517952,406640800
24,2017-09-11,40.125,40.990002,39.477501,39.970001,37.813583,884310000
25,2017-09-18,40.0275,40.125,37.639999,37.9725,35.923847,744754000
26,2017-09-25,37.497501,38.68,37.290001,38.529999,36.451283,619427200
27,2017-10-02,38.564999,38.872501,38.115002,38.825001,36.730354,375137200
28,2017-10-09,38.952499,39.5,38.775002,39.247501,37.130066,325219200
29,2017-10-16,39.474998,40.217499,38.755001,39.0625,36.95504,504205200
30,2017-10-23,39.2225,40.900002,38.817501,40.762501,38.563328,489613200
31,2017-10-30,40.9725,43.564999,40.93,43.125,40.79837,860709600
32,2017-11-06,43.092499,44.060001,42.93,43.6675,41.311611,553701600
33,2017-11-13,43.375,43.625,42.095001,42.537498,40.387226,465838800
34,2017-11-20,42.572498,43.875,42.389999,43.7425,41.531326,324037200
35,2017-11-27,43.762501,43.77,41.790001,42.762501,40.600861,680394000
36,2017-12-04,43.119999,43.154999,41.615002,42.342499,40.202087,549924400
37,2017-12-11,42.299999,43.5425,42.197498,43.4925,41.293949,556588800
38,2017-12-18,43.720001,44.299999,43.3125,43.752499,41.540813,470529600
39,2017-12-25,42.700001,42.962502,42.305,42.307499,40.168854,388655200
40,2018-01-01,42.540001,43.842499,42.314999,43.75,41.538437,404673600
41,2018-01-08,43.587502,44.34,43.25,44.272499,42.034531,440790000
42,2018-01-15,44.474998,45.025002,43.767502,44.615002,42.359718,510284800
43,2018-01-22,44.325001,44.860001,42.514999,42.877499,40.710045,766299200
44,2018-01-29,42.540001,42.540001,40.025002,40.125,38.096684,1051968400
45,2018-02-05,39.775002,40.970001,37.560001,39.102501,37.125877,1270616000
46,2018-02-12,39.625,43.705002,39.377499,43.107498,41.095295,901347600
47,2018-02-19,43.012501,43.912498,42.752499,43.875,41.826958,544825600
48,2018-02-26,44.087502,45.154999,43.112499,44.052502,41.99617,808513600
49,2018-03-05,43.802502,45.0,43.567501,44.994999,42.894676,559410800
50,2018-03-12,45.072498,45.875,44.404999,44.505001,42.427547,621670000
51,2018-03-19,44.330002,44.3675,41.235001,41.235001,39.310196,690682800
52,2018-03-26,42.017502,43.787498,41.297501,41.945,39.987049,634123200
53,2018-04-02,41.66,43.557499,41.1175,42.095001,40.130051,657635200
54,2018-04-09,42.470001,43.959999,42.462502,43.682499,41.643448,511486000
55,2018-04-16,43.7575,44.735001,41.357498,41.43,39.496094,676952800
56,2018-04-23,41.7075,41.73,40.157501,40.580002,38.685772,648833600
57,2018-04-30,40.532501,46.0625,40.459999,45.9575,43.812248,1011222800
58,2018-05-07,46.294998,47.592499,45.9175,47.147499,44.946705,593067600
59,2018-05-14,47.252499,47.3825,46.275002,46.577499,44.574532,396995200
60,2018-05-21,47.0,47.412498,46.439999,47.145,45.117622,377579600
61,2018-05-28,46.900002,47.564999,46.535,47.560001,45.514782,368519600
62,2018-06-04,47.91,48.549999,47.442501,47.924999,45.864082,467079200
63,2018-06-11,47.837502,48.220001,47.064999,47.209999,45.179832,560749200
64,2018-06-18,46.970001,47.305,45.862499,46.23,44.24197,502417600
65,2018-06-25,45.849998,46.82,45.182499,46.2775,44.287434,486482000
66,2018-07-02,45.955002,47.107498,45.855,46.9925,44.971695,263102000
67,2018-07-09,47.375,47.959999,46.9025,47.8325,45.775578,340328800
68,2018-07-16,47.880001,48.162498,47.299999,47.860001,45.801891,351736000
69,2018-07-23,47.669998,48.990002,47.389999,47.744999,45.691841,377988800
70,2018-07-30,47.974998,52.185001,47.267502,51.997501,49.761463,896758400
71,2018-08-06,52.0,52.445,51.130001,51.8825,49.651409,486568400
72,2018-08-13,52.327499,54.487499,51.924999,54.395,52.23843,557495600
73,2018-08-20,54.525002,54.794998,53.459999,54.040001,51.897499,451300800
74,2018-08-27,54.287498,57.217499,54.0825,56.907501,54.651314,650762400
75,2018-09-03,57.102501,57.4175,55.177502,55.325001,53.131557,530531600
76,2018-09-10,55.237499,57.087502,54.1175,55.959999,53.741375,792999600
77,2018-09-17,55.537498,55.737499,53.825001,54.415001,52.257629,874984400
78,2018-09-24,54.205002,56.610001,54.157501,56.435001,54.197548,517372400
79,2018-10-01,56.987499,58.3675,55.145,56.072498,53.849419,570665200
80,2018-10-08,55.552502,56.817501,53.080002,55.5275,53.326023,768031200
81,2018-10-15,55.290001,55.747501,53.25,54.827499,52.653786,594081600
82,2018-10-22,54.947498,56.057499,53.1675,54.075001,51.931114,742398400
83,2018-10-29,54.797501,55.59,51.357498,51.869999,49.813534,1082425200
